n,block_size,requested_fork_ratio,fork_ratio,repeats,warmups,seed,control_words,fms_schedule,fms_control_ms,fmscompact_ms,ocompact_ms,speedup,correct
1048576,4,0.25,0.250000000,15,5,20260903,10485760,postorder,726.574000000,22.981800000,21.631000000,0.941223055,1
1048576,8,0.25,0.250000000,15,5,20260904,10485760,postorder,736.290000000,22.846200000,22.900733333,1.002386976,1
1048576,12,0.25,0.250000000,15,5,20260905,10485760,postorder,738.822000000,23.299000000,23.819000000,1.022318554,1
1048576,16,0.25,0.250000000,15,5,20260906,10485760,postorder,727.275000000,23.292000000,24.193000000,1.038682810,1
1048576,24,0.25,0.250000000,15,5,20260907,10485760,postorder,725.794000000,29.100266667,27.074666667,0.930392390,1
1048576,32,0.25,0.250000000,15,5,20260908,10485760,postorder,767.382000000,45.471800000,44.696933333,0.982959402,1
1048576,64,0.25,0.250000000,15,5,20260909,10485760,postorder,727.274000000,72.938666667,74.680933333,1.023886736,1
1048576,128,0.25,0.250000000,15,5,20260910,10485760,postorder,729.553000000,138.804333333,140.498866667,1.012208072,1
1048576,256,0.25,0.250000000,15,5,20260911,10485760,postorder,729.580000000,280.232466667,282.326266667,1.007471654,1
1048576,512,0.25,0.250000000,15,5,20260912,10485760,postorder,727.201000000,577.547333333,573.401400000,0.992821483,1
1048576,1024,0.25,0.250000000,15,5,20260913,10485760,postorder,726.834000000,1227.748266667,1229.807600000,1.001677325,1

1048576,4096,0.25,0.250000000,15,5,20260903,10485760,postorder,732.928000000,5090.940266667,5104.197333333,1.002604051,1

