block_size,pairs,repeats,oswap_0_ns,ofork_01_ns,identity_ratio,oswap_1_ns,ofork_10_ns,swap_ratio,ofork_00_ns,ofork_11_ns
4,1048576,15,1.942634583,2.027511597,1.043691703,1.927375793,2.025604248,1.050964869,2.022743225,2.021789551
8,1048576,15,1.966476440,1.941680908,0.987390883,1.978874207,1.954078674,0.987469880,1.942634583,1.935005188
12,1048576,15,2.069473267,2.041816711,0.986635945,2.052307129,2.041816711,0.994888476,2.049446106,2.059936523
16,1048576,15,3.475189209,3.494262695,1.005488474,3.503799438,3.494262695,0.997278171,3.553390503,3.528594971
24,1048576,15,5.119323730,5.081176758,0.992548435,5.107879639,5.121231079,1.002613891,5.107879639,5.087852478
32,1048576,15,7.163047791,7.234573364,1.009985355,7.132530212,7.152557373,1.002807862,7.214546204,7.214546204
64,1048576,15,13.253211975,13.205528259,0.996402101,13.776779175,13.795852661,1.001384466,13.534545898,13.252258301
128,1048576,15,25.264739990,24.910926819,0.985995772,25.158882141,24.808883667,0.986088473,24.842262268,24.887084961
256,1048576,15,50.271987915,49.689292908,0.988409151,49.753189087,49.620628357,0.997335634,49.805641174,49.760818481
512,1048576,15,107.387542725,103.656768799,0.965258783,106.248855591,102.925300598,0.968719145,107.858657837,107.669830322
1024,1048576,15,258.185386658,238.051414490,0.922017383,256.520271301,236.335754395,0.921314145,241.863250732,242.213249207
4096,1048576,15,643.618583679,652.297019958,1.013483819,655.195236206,664.849281311,1.014734608,656.629562378,654.068946838
