block_size,pairs,repeats,oswap_0_ns,ofork_01_ns,identity_ratio,oswap_1_ns,ofork_10_ns,swap_ratio,ofork_00_ns,ofork_11_ns
4,100000,15,1.980000000,2.150000000,1.085858586,2.050000000,2.100000000,1.024390244,2.100000000,2.040000000
8,100000,15,2.060000000,1.970000000,0.956310680,2.030000000,1.930000000,0.950738916,1.930000000,1.960000000
12,100000,15,2.020000000,1.980000000,0.980198020,2.010000000,1.960000000,0.975124378,1.950000000,1.940000000
16,100000,15,1.930000000,2.890000000,1.497409326,1.900000000,2.940000000,1.547368421,2.890000000,2.930000000
24,100000,15,2.530000000,3.450000000,1.363636364,2.530000000,3.440000000,1.359683794,3.440000000,3.440000000
32,100000,15,3.630000000,3.740000000,1.030303030,3.600000000,3.780000000,1.050000000,3.830000000,3.840000000
64,100000,15,6.290000000,6.080000000,0.966613672,6.280000000,6.050000000,0.963375796,6.090000000,6.060000000
128,100000,15,14.030000000,13.410000000,0.955808981,13.920000000,13.410000000,0.963362069,13.570000000,13.540000000
256,100000,15,52.430000000,51.990000000,0.991607858,52.350000000,51.970000000,0.992741165,51.750000000,51.680000000
1024,100000,15,255.780000000,242.550000000,0.948275862,256.110000000,242.620000000,0.947327320,242.580000000,242.650000000
